,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Region label
0,2011,0.7,-1.06,-1.98,-0.51,-1.22,-0.16,0.72,1.82,0.91,0.2,0.18,-0.69,Australia
1,2012,-0.13,0.04,-1.35,0.45,0.39,-0.22,0.11,1.59,1.97,1.69,1.96,1.37,Australia
2,2013,2.47,1.1,0.84,1.79,0.92,0.16,1.64,2.72,3.45,2.25,0.92,0.94,Australia
3,2014,1.18,-0.18,1.24,1.05,1.71,0.54,1.0,0.79,2.1,2.89,2.41,1.02,Australia
4,2015,-0.24,2.6,1.35,-0.84,0.11,1.35,0.52,0.79,0.88,3.61,2.21,0.92,Australia
5,2016,0.35,1.73,1.62,2.49,1.84,0.4,0.47,0.28,-0.86,-0.15,1.22,0.55,Australia
6,2017,0.46,0.73,2.07,0.4,1.63,1.34,2.68,1.83,2.07,1.45,0.82,1.33,Australia
7,2018,1.48,0.91,1.36,3.29,0.97,0.84,2.32,0.72,1.43,1.97,0.75,2.4,Australia
8,2019,3.28,2.06,2.29,1.47,1.02,0.6,2.23,0.73,2.22,2.94,2.04,4.13,Australia
9,2020,1.39,0.66,0.55,1.7,-0.35,1.71,1.53,1.54,2.6,0.93,2.88,-0.48,Australia
10,2021,0.04,-0.48,-0.01,0.83,1.05,0.06,1.96,1.75,1.31,1.07,-1.21,1.38,Australia
11,2011,1.08,0.17,-1.16,-0.37,-0.76,0.85,0.63,2.7,2.1,0.23,1.27,-2.44,New South Wales
12,2012,-0.79,-1.83,-2.0,0.47,0.49,0.22,0.62,1.03,2.23,1.93,2.92,1.91,New South Wales
13,2013,3.75,0.26,0.16,1.28,1.14,0.37,2.16,2.47,4.73,2.49,1.18,1.75,New South Wales
14,2014,2.83,1.73,0.25,0.73,1.99,0.79,1.21,0.81,1.55,4.1,4.21,1.54,New South Wales
15,2015,-0.41,1.78,1.28,-0.96,0.16,0.23,-0.55,0.14,0.77,5.51,2.46,1.86,New South Wales
16,2016,0.45,2.16,2.52,3.35,1.48,-0.48,0.61,0.26,-1.73,-0.89,1.48,2.17,New South Wales
17,2017,3.86,3.13,2.16,-0.09,1.0,1.26,2.25,1.08,2.87,2.2,1.41,1.87,New South Wales
18,2018,3.91,1.94,2.28,4.44,1.2,0.69,2.17,1.29,1.63,2.34,0.86,2.91,New South Wales
19,2019,6.15,1.77,1.88,2.09,0.89,1.07,2.14,1.09,2.73,3.33,1.81,4.31,New South Wales
20,2020,3.61,-0.75,-1.18,-0.75,-0.69,0.86,0.93,-0.11,2.32,1.32,3.9,-0.21,New South Wales
21,2021,0.37,-0.71,-1.36,-0.13,0.69,0.2,0.67,1.7,1.47,0.25,-1.99,0.28,New South Wales
22,2011,-0.24,-1.87,-3.19,-1.98,-2.1,-1.38,0.7,1.01,0.33,0.24,-1.63,-0.97,Northern Territory
23,2012,1.03,0.99,-1.77,-0.66,-0.68,-0.82,-0.52,1.17,2.0,1.03,1.57,0.69,Northern Territory
24,2013,2.78,1.52,2.0,1.59,0.89,0.69,1.84,2.92,4.04,1.83,0.47,-0.32,Northern Territory
25,2014,-0.19,-2.0,0.98,1.03,2.04,0.17,0.99,-1.28,2.21,2.12,1.81,0.06,Northern Territory
26,2015,-2.22,2.02,2.48,-0.38,0.36,1.37,0.51,0.51,0.11,2.11,2.11,-1.22,Northern Territory
27,2016,-0.01,2.04,2.06,2.89,2.23,1.87,0.8,0.41,0.14,-0.74,0.66,-1.07,Northern Territory
