,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
ACT - South West,2020,12462.14,,,,,,,,11.0,,,,,,,
APY Lands,2020,0.0,,,,,,,,1.0,,,,,,,
Acton - Upper Burnie,2020,44.77,,,,,,,,1.0,,,,,,,
Adelaide - Central and Hills,2012,62194.2,11584.4,18498.8,3875.8,2078.0,3.2,5192.2,18498.8,795.0,477.0,786.0,414.0,36.0,0.0,414.0,786.0
Adelaide - Central and Hills,2013,55944.21,11596.94,20319.02,6748.18,1136.24,2.85,6716.88,19127.68,894.0,497.0,797.0,488.0,110.0,0.0,450.0,450.0
Adelaide - Central and Hills,2014,59636.8,13257.0,25435.88,8926.66,2575.09,3.44,6886.61,23690.3,784.0,557.0,767.0,448.0,116.0,0.0,478.0,478.0
Adelaide - Central and Hills,2015,84277.59,11653.42,16342.25,2779.75,814.13,3.23,4710.6,15202.21,415.0,281.0,401.0,203.0,61.0,0.0,260.0,260.0
Adelaide - Central and Hills,2016,45380.13,10159.41,14530.29,3364.41,403.28,2.59,5200.12,13482.05,434.0,298.0,408.0,237.0,25.0,0.0,279.0,279.0
Adelaide - Central and Hills,2017,45611.51,8147.99,13020.27,2937.24,898.57,3.43,3490.89,11980.27,365.0,231.0,339.0,183.0,19.0,0.0,229.0,229.0
Adelaide - Central and Hills,2018,29905.86,8703.68,11763.76,1289.54,893.31,3.12,3506.29,10948.06,420.0,303.0,393.0,136.0,36.0,0.0,246.0,246.0
Adelaide - Central and Hills,2019,28437.01,6782.8,10124.65,2156.13,548.0,3.13,2697.08,8429.18,294.0,133.0,181.0,71.0,2.0,0.0,137.0,137.0
Adelaide - Central and Hills,2020,51697.63,11953.15,15339.94,1853.77,764.76,3.15,4729.92,14901.73,428.0,200.0,236.0,99.0,12.0,0.0,236.0,236.0
Adelaide - North,2012,23526.6,4649.2,12506.4,1157.6,6.2,3.8,2611.1,12506.4,531.0,189.0,473.0,187.0,3.0,0.0,383.0,473.0
Adelaide - North,2013,28961.35,8265.45,14836.19,697.29,592.74,4.49,3258.95,14636.05,573.0,287.0,505.0,150.0,7.0,0.0,429.0,429.0
Adelaide - North,2014,22030.48,10418.12,18013.23,404.17,547.43,4.71,3797.62,17871.11,553.0,286.0,452.0,113.0,26.0,0.0,376.0,376.0
Adelaide - North,2015,26965.63,7902.0,16359.39,815.0,550.62,4.4,3588.61,15806.13,399.0,222.0,360.0,92.0,6.0,0.0,317.0,317.0
Adelaide - North,2016,18081.79,5003.76,14619.25,1328.57,596.93,4.72,3057.58,14440.12,329.0,173.0,294.0,57.0,8.0,0.0,258.0,258.0
