Product,Barley,Maize,Sorghum,Oats,Rice,Triticale,Wheat,Other cereal grains,Canola,Soybeans,Sunflower Seed,Oilseeds other,Chickpeas,Field peas,Lupins,Other legumes,"Grains, oilseeds and pulses",Cotton lint,Sugar cane,Wine grapes,Industrial crops total,Table grapes,Fruit (excluding grapes),Vegetables,"Nurseries, cut flowers and turf",Other horticulture,Horticulture total,Sundry crops,Total crops,Cattle slaughtered,Sheep slaughtered,Lambs slaughtered,Pigs slaughtered,Poultry slaughtered,Goats slaughtered
Unit,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m
1974,256.86,11.65,76.23,59.62,35.89,0.00,1256.44,4.55,1.89,13.24,24.01,26.99,0.00,0.00,0.00,4.76,1772.14,29.27,490.70,55.21,575.18,46.18,266.54,256.23,,,,169.89,3203.77,,38.68,123.12,177.74,139.80,0.00
1975,313.86,12.20,96.15,77.77,41.20,0.00,1249.22,7.76,1.85,7.24,15.69,20.55,0.00,0.00,0.00,15.45,1858.95,37.53,435.55,57.51,530.58,44.76,268.68,274.27,,,,154.47,3247.49,,47.59,136.61,183.30,152.90,0.00
1976,294.80,13.10,80.32,74.42,59.35,1.00,1050.79,9.48,1.55,14.71,21.52,19.25,0.00,0.00,3.70,6.71,1650.70,39.77,472.20,62.81,574.78,65.64,290.09,295.05,,,,178.67,3188.80,1010.19,85.05,163.35,197.40,178.30,0.00
1977,204.97,12.20,59.48,69.09,61.08,1.00,934.88,11.68,3.00,17.62,36.58,30.60,0.00,0.00,4.00,8.55,1454.73,61.16,420.55,60.09,541.79,81.53,323.95,326.46,,,,153.69,3046.93,1176.25,87.34,164.56,212.70,220.00,0.00
1978,339.09,15.60,97.44,100.46,97.75,2.00,2295.84,9.46,4.80,24.64,45.78,42.21,0.00,0.00,8.00,10.25,3093.31,71.36,396.50,70.13,538.00,79.92,387.68,403.44,,,,201.48,4907.87,2153.32,113.93,198.57,253.80,244.20,0.00
1979,449.75,19.80,96.07,98.75,93.80,2.92,2477.97,6.33,9.10,21.60,36.30,31.43,0.00,9.00,12.00,0.89,3365.71,135.30,548.25,80.80,764.35,150.30,406.60,402.26,140.60,95.40,1195.16,215.63,5540.85,2384.17,179.02,316.28,311.30,307.20,0.00
1980,380.90,26.10,152.00,139.50,138.20,2.80,1684.10,8.40,4.50,22.40,34.30,40.92,0.00,12.00,17.00,2.50,2665.62,147.20,799.70,83.40,1030.30,94.80,459.80,509.00,145.10,102.80,1311.50,298.40,5305.82,2054.82,208.67,339.23,337.50,361.40,0.00
1981,463.40,29.60,140.10,155.70,103.50,9.50,2599.40,11.30,3.30,19.80,28.30,43.88,0.00,22.00,20.00,2.00,3651.78,182.00,590.20,93.90,866.10,128.90,464.40,554.30,157.90,97.60,1403.10,390.80,6311.78,1888.66,141.14,330.56,396.10,362.70,0.00
1982,287.60,23.30,124.40,116.10,88.40,11.30,1566.20,13.10,1.66,15.10,27.20,20.14,0.00,8.00,30.30,1.40,2334.20,167.50,508.90,89.10,765.50,123.30,508.80,556.90,200.80,103.80,1493.60,417.00,5010.30,2072.97,93.88,278.12,414.90,412.70,0.00
1983,732.60,35.60,246.30,203.80,88.90,21.40,3605.60,16.40,4.32,28.20,58.90,49.96,0.00,25.00,64.10,7.20,5188.28,268.80,516.60,115.00,900.40,102.00,552.50,738.60,183.90,127.20,1704.20,633.60,8426.48,2110.45,69.30,274.80,375.50,430.20,0.00
1984,759.30,46.10,196.90,129.60,123.10,23.90,3202.90,10.80,9.90,35.80,88.30,46.70,0.00,31.00,74.00,8.50,4786.80,330.20,512.20,133.50,975.90,125.90,670.80,628.80,247.00,130.30,1802.80,301.80,7867.30,2238.77,71.05,245.95,438.10,512.60,3.40
