Region ,Year,Month,Index,Change from Corresponding Quarter of Previous Year (%),Change from Previous Period (%) 
Sydney,1949,Sep,4.0,8.1,2.6
Sydney,1949,Dec,4.1,10.8,2.5
Sydney,1950,Mar,4.1,5.1,0.0
Sydney,1950,Jun,4.3,10.3,4.9
Sydney,1950,Sep,4.4,10.0,2.3
Sydney,1950,Dec,4.6,12.2,4.5
Sydney,1951,Mar,4.7,14.6,2.2
Sydney,1951,Jun,5.1,18.6,8.5
Sydney,1951,Sep,5.4,22.7,5.9
Sydney,1951,Dec,5.7,23.9,5.6
Sydney,1952,Mar,5.9,25.5,3.5
Sydney,1952,Jun,6.1,19.6,3.4
Sydney,1952,Sep,6.2,14.8,1.6
Sydney,1952,Dec,6.3,10.5,1.6
Sydney,1953,Mar,6.3,6.8,0.0
Sydney,1953,Jun,6.4,4.9,1.6
Sydney,1953,Sep,6.4,3.2,0.0
Sydney,1953,Dec,6.4,1.6,0.0
Sydney,1954,Mar,6.4,1.6,0.0
Sydney,1954,Jun,6.4,0.0,0.0
Sydney,1954,Sep,6.4,0.0,0.0
Sydney,1954,Dec,6.4,0.0,0.0
Sydney,1955,Mar,6.5,1.6,1.6
Sydney,1955,Jun,6.5,1.6,0.0
Sydney,1955,Sep,6.5,1.6,0.0
Sydney,1955,Dec,6.6,3.1,1.5
Sydney,1956,Mar,6.6,1.5,0.0
Sydney,1956,Jun,6.9,6.2,4.5
Sydney,1956,Sep,7.1,9.2,2.9
Sydney,1956,Dec,7.1,7.6,0.0
Sydney,1957,Mar,7.1,7.6,0.0
Sydney,1957,Jun,7.1,2.9,0.0
Sydney,1957,Sep,7.2,1.4,1.4
Sydney,1957,Dec,7.2,1.4,0.0
Sydney,1958,Mar,7.3,2.8,1.4
Sydney,1958,Jun,7.3,2.8,0.0
Sydney,1958,Sep,7.2,0.0,-1.4
Sydney,1958,Dec,7.3,1.4,1.4
Sydney,1959,Mar,7.3,0.0,0.0
Sydney,1959,Jun,7.3,0.0,0.0
Sydney,1959,Sep,7.3,1.4,0.0
Sydney,1959,Dec,7.4,1.4,1.4
Sydney,1960,Mar,7.4,1.4,0.0
Sydney,1960,Jun,7.5,2.7,1.4
Sydney,1960,Sep,7.6,4.1,1.3
Sydney,1960,Dec,7.7,4.1,1.3
Sydney,1961,Mar,7.7,4.1,0.0
Sydney,1961,Jun,7.8,4.0,1.3
Sydney,1961,Sep,7.7,1.3,-1.3
Sydney,1961,Dec,7.7,0.0,0.0
Sydney,1962,Mar,7.7,0.0,0.0
Sydney,1962,Jun,7.7,-1.3,0.0
Sydney,1962,Sep,7.7,0.0,0.0
Sydney,1962,Dec,7.8,1.3,1.3
Sydney,1963,Mar,7.8,1.3,0.0
Sydney,1963,Jun,7.8,1.3,0.0
Sydney,1963,Sep,7.8,1.3,0.0
Sydney,1963,Dec,7.8,0.0,0.0
Sydney,1964,Mar,7.8,0.0,0.0
Sydney,1964,Jun,7.9,1.3,1.3
Sydney,1964,Sep,8.0,2.6,1.3
Sydney,1964,Dec,8.1,3.8,1.3
